actor_slug,type,title,url,captured_at,note
pureinnocent-arendal,map,Google Maps,https://maps.google.com/?cid=11250667798740715268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
karusellen-grimstad,website,Offisiell nettside,https://www.facebook.com/frabarntilbarn,2026-04-15,
karusellen-grimstad,map,Google Maps,https://maps.google.com/?cid=11848814238958413177&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
karo-og-jossi-s-fortryllende-lekebutikk-risor,website,Offisiell nettside,http://www.karoogjossi.no/,2026-04-15,
karo-og-jossi-s-fortryllende-lekebutikk-risor,map,Google Maps,https://maps.google.com/?cid=12679096861821501235&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
ex-libris-antikvariat-tvedestrand,website,Offisiell nettside,https://www.bokbyen-skagerrak.no/sample-page-2/exlibris-antikvariat/,2026-04-15,
ex-libris-antikvariat-tvedestrand,map,Google Maps,https://maps.google.com/?cid=2774215359024729099&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
coop-marked-ose-i-setesdal-bygland,website,Offisiell nettside,https://www.coop.no/butikker/coop-marked-matkroken/coop-marked-ose-i-setesdal-2398,2026-04-15,
coop-marked-ose-i-setesdal-bygland,map,Google Maps,https://maps.google.com/?cid=13133794819869727777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
coop-prix-byglandsfjord-byglandsfjord,website,Offisiell nettside,https://www.coop.no/butikker/coop-prix/coop-prix-byglandsfjord-1332,2026-04-15,
